Date,GUJRAT,MUMBAI,PUNJAB
2012-01-01,40,44,48
2012-01-02,38,42,48
2012-01-03,38,38,48
2012-01-04,35,35,47
2012-01-05,38,35,48
2012-01-06,45,42,47
2012-01-07,44,43,51
2012-01-08,43,42,51
2012-01-09,42,42,58
2012-01-10,45,43,61
2012-01-11,48,46,58
2012-01-12,47,45,58
2012-01-13,45,45,58
2012-01-14,45,44,53
2012-01-15,47,46,55
2012-01-16,51,47,60
2012-01-17,54,47,59
2012-01-18,54,47,62
2012-01-19,53,45,61
2012-01-20,52,42,60
2012-01-21,48,42,60
2012-01-22,52,46,59
2012-01-23,56,49,59
2012-01-24,56,52,59
2012-01-25,55,51,61
2012-01-26,55,48,60
2012-01-27,55,47,60
2012-01-28,54,50,63
2012-01-29,60,53,64
2012-01-30,57,51,65
2012-01-31,57,53,65
2012-02-01,58,52,64
2012-02-02,59,53,64
2012-02-03,62,56,61
2012-02-04,62,57,61
2012-02-05,62,59,57
2012-02-06,60,60,62
2012-02-07,64,60,62
2012-02-08,66,58,66
2012-02-09,64,58,70
2012-02-10,62,55,75
2012-02-11,67,56,78
2012-02-12,70,62,81
2012-02-13,72,65,82
2012-02-14,72,66,80
2012-02-15,71,68,76
2012-02-16,70,66,74
2012-02-17,68,64,70
2012-02-18,69,62,68
2012-02-19,70,62,67
2012-02-20,70,62,68
2012-02-21,66,60,67
2012-02-22,66,62,66
2012-02-23,68,61,68
2012-02-24,68,61,70
2012-02-25,68,60,70
2012-02-26,71,60,74
2012-02-27,71,60,76
2012-02-28,73,63,76
2012-02-29,75,65,74
2012-03-01,71,65,74
2012-03-02,72,65,71
2012-03-03,70,65,71
2012-03-04,69,67,69
2012-03-05,68,68,68
2012-03-06,70,67,67
2012-03-07,70,65,74
2012-03-08,70,68,72
2012-03-09,72,71,70
2012-03-10,70,73,67
2012-03-11,70,74,66
2012-03-12,70,76,64
2012-03-13,75,77,64
2012-03-14,74,77,63
2012-03-15,73,74,60
2012-03-16,70,70,57
2012-03-17,65,66,51
2012-03-18,63,62,51
2012-03-19,60,61,49
2012-03-20,60,60,49
2012-03-21,60,60,53
2012-03-22,61,59,56
2012-03-23,58,58,51
2012-03-24,58,58,50
2012-03-25,58,59,48
2012-03-26,58,59,49
2012-03-27,56,56,49
2012-03-28,53,53,48
2012-03-29,53,42,48
2012-03-30,50,45,48
2012-03-31,50,42,49
2012-04-01,48,42,50
2012-04-02,50,44,47
2012-04-03,52,47,47
2012-04-04,54,50,46
2012-04-05,54,51,44
2012-04-06,56,53,44
2012-04-07,55,54,43
2012-04-08,53,54,40
2012-04-09,50,53,45
2012-04-10,51,53,45
2012-04-11,50,48,46
2012-04-12,49,45,44
2012-04-13,47,48,41
2012-04-14,48,49,43
2012-04-15,51,52,46
2012-04-16,53,53,46
2012-04-17,52,54,46
2012-04-18,52,54,44
2012-04-19,50,52,45
2012-04-20,52,51,43
2012-04-21,52,50,44
2012-04-22,50,50,43
2012-04-23,51,50,44
2012-04-24,49,51,44
2012-04-25,47,53,45
2012-04-26,48,53,44
2012-04-27,48,52,45
2012-04-28,50,52,53
2012-04-29,54,55,64
2012-04-30,58,58,63
2012-05-01,60,60,65
2012-05-02,58,62,60
2012-05-03,60,62,55
2012-05-04,56,62,52
2012-05-05,54,61,55
2012-05-06,54,61,57
2012-05-07,55,60,57
2012-05-08,55,59,57
2012-05-09,59,60,60
2012-05-10,63,61,65
2012-05-11,65,64,65
2012-05-12,70,65,65
2012-05-13,72,70,70
2012-05-14,74,71,72
2012-05-15,76,73,72
2012-05-16,76,74,80
2012-05-17,75,74,77
2012-05-18,74,73,76
2012-05-19,72,71,76
2012-05-20,72,70,77
2012-05-21,70,70,77
2012-05-22,73,72,76
2012-05-23,78,74,80
2012-05-24,80,77,80
2012-05-25,80,78,80
2012-05-26,80,81,80
2012-05-27,82,81,80
2012-05-28,83,81,80
2012-05-29,85,80,80
2012-05-30,86,79,80
2012-05-31,86,79,80
2012-06-01,85,80,80
2012-06-02,85,80,80
2012-06-03,82,80,83
2012-06-04,84,80,85
2012-06-05,85,80,85
2012-06-06,85,78,88
2012-06-07,85,77,85
2012-06-08,85,77,86
2012-06-09,85,78,86
2012-06-10,84,78,86
2012-06-11,84,78,88
2012-06-12,84,78,89
2012-06-13,87,80,88
2012-06-14,86,80,90
2012-06-15,86,79,91
2012-06-16,85,78,93
2012-06-17,83,77,94
2012-06-18,83,77,96
2012-06-19,82,76,98
2012-06-20,85,76,99
2012-06-21,84,74,96
2012-06-22,85,76,90
2012-06-23,82,76,86
2012-06-24,79,73,86
2012-06-25,79,72,95
2012-06-26,76,69,96
2012-06-27,72,64,97
2012-06-28,70,62,95
2012-06-29,64,56,95
2012-06-30,62,54,94
2012-07-01,56,54,92
2012-07-02,57,53,88
2012-07-03,60,55,88
2012-07-04,62,56,88
2012-07-05,65,56,86
2012-07-06,65,55,91
2012-07-07,68,57,92
2012-07-08,68,60,94
2012-07-09,69,60,91
2012-07-10,69,59,91
2012-07-11,67,58,82
2012-07-12,66,56,75
2012-07-13,62,55,75
2012-07-14,57,53,74
2012-07-15,55,51,85
2012-07-16,55,50,75
2012-07-17,59,52,75
2012-07-18,62,55,82
2012-07-19,62,54,75
2012-07-20,64,63,75
2012-07-21,63,62,69
2012-07-22,59,56,65
2012-07-23,57,53,63
2012-07-24,55,48,64
2012-07-25,48,42,57
2012-07-26,45,39,52
2012-07-27,45,41,55
2012-07-28,47,40,55
2012-07-29,51,44,60
2012-07-30,53,46,66
2012-07-31,53,46,65
2012-08-01,53,46,66
2012-08-02,52,46,64
2012-08-03,52,46,64
2012-08-04,52,46,58
2012-08-05,53,48,58
2012-08-06,53,47,59
2012-08-07,50,47,58
2012-08-08,48,44,60
2012-08-09,45,41,60
2012-08-10,44,40,57
2012-08-11,47,41,60
2012-08-12,52,42,61
2012-08-13,56,45,66
2012-08-14,60,51,66
2012-08-15,60,52,66
2012-08-16,60,60,65
2012-08-17,62,61,71
2012-08-18,62,62,70
2012-08-19,60,60,68
2012-08-20,58,59,66
2012-08-21,56,56,66
2012-08-22,53,53,74
2012-08-23,53,52,69
2012-08-24,55,54,66
2012-08-25,58,56,65
2012-08-26,62,60,65
2012-08-27,60,60,70
2012-08-28,58,60,68
2012-08-29,58,61,66
2012-08-30,58,59,65
2012-08-31,58,58,65
2012-09-01,54,55,67
2012-09-02,50,54,63
2012-09-03,53,53,64
2012-09-04,55,54,64
2012-09-05,59,56,64
2012-09-06,60,56,65
2012-09-07,61,61,63
2012-09-08,58,61,65
2012-09-09,57,60,64
2012-09-10,58,60,65
2012-09-11,56,58,65
2012-09-12,54,55,63
2012-09-13,53,55,65
2012-09-14,55,55,63
2012-09-15,58,56,65
2012-09-16,60,58,66
2012-09-17,57,56,66
2012-09-18,56,56,66
2012-09-19,54,55,67
2012-09-20,54,54,66
2012-09-21,58,54,67
2012-09-22,62,56,68
2012-09-23,66,62,66
2012-09-24,66,60,66
2012-09-25,67,60,66
2012-09-26,65,61,66
2012-09-27,61,58,65
2012-09-28,60,55,65
2012-09-29,59,51,63
2012-09-30,61,51,61
2012-10-01,64,55,58
2012-10-02,69,59,58
2012-10-03,71,63,59
2012-10-04,72,63,60
2012-10-05,68,63,58
2012-10-06,66,62,60
2012-10-07,66,60,59
2012-10-08,68,60,60
2012-10-09,70,60,60
2012-10-10,70,62,60
2012-10-11,67,62,60
2012-10-12,66,60,60
2012-10-13,65,57,61
2012-10-14,63,57,62
2012-10-15,62,58,62
2012-10-16,66,58,62
2012-10-17,66,60,61
2012-10-18,65,60,60
2012-10-19,61,57,61
2012-10-20,59,55,61
2012-10-21,57,54,61
2012-10-22,61,52,62
2012-10-23,61,55,63
2012-10-24,63,58,65
2012-10-25,63,61,63
2012-10-26,61,61,63
2012-10-27,61,61,62
2012-10-28,60,60,58
2012-10-29,53,60,56
2012-10-30,59,55,56
2012-10-31,57,52,51
2012-11-01,55,48,51
2012-11-02,52,49,50
2012-11-03,53,52,48
2012-11-04,54,53,48
2012-11-05,54,53,48
2012-11-06,50,58,48
2012-11-07,48,44,48
2012-11-08,51,47,51
2012-11-09,54,47,49
2012-11-10,52,47,52
2012-11-11,48,43,54
2012-11-12,48,41,53
2012-11-13,49,39,54
2012-11-14,50,43,58
2012-11-15,53,48,58
2012-11-16,55,50,53
2012-11-17,55,48,51
2012-11-18,55,46,50
2012-11-19,48,44,53
2012-11-20,45,40,53
2012-11-21,41,33,50
2012-11-22,37,33,48
2012-11-23,40,37,45
2012-11-24,44,41,49
2012-11-25,48,43,52
2012-11-26,48,41,50
2012-11-27,46,43,50
2012-11-28,42,34,46
2012-11-29,37,30,45
2012-11-30,34,29,46
2012-12-01,33,30,44
2012-12-02,35,30,44
2012-12-03,40,31,41
2012-12-04,43,38,41
2012-12-05,43,43,42
2012-12-06,41,45,41
2012-12-07,38,44,45
2012-12-08,41,41,57
2012-12-09,50,50,60
2012-12-10,55,55,58
2012-12-11,54,54,58
2012-12-12,50,55,58
2012-12-13,55,55,57
2012-12-14,56,55,59
2012-12-15,56,55,60
2012-12-16,60,58,62
2012-12-17,58,58,62
2012-12-18,56,55,62
2012-12-19,58,54,67
2012-12-20,58,54,67
2012-12-21,62,60,67
2012-12-22,65,60,64
2012-12-23,66,62,62
2012-12-24,62,62,60
2012-12-25,65,62,59
2012-12-26,67,65,55
2012-12-27,73,72,55
2012-12-28,74,77,58
2012-12-29,74,77,67
2012-12-30,74,76,69
2012-12-31,72,73,66
2013-01-01,72,72,64
2013-01-02,71,70,65
2013-01-03,74,70,57
2013-01-04,75,72,67
2013-01-05,75,72,62
2013-01-06,75,72,66
2013-01-07,76,70,70
2013-01-08,77,72,70
2013-01-09,80,75,71
2013-01-10,80,75,73
2013-01-11,80,75,78
2013-01-12,79,73,79
2013-01-13,72,70,77
2013-01-14,80,70,77
2013-01-15,80,72,78
2013-01-16,84,73,78
2013-01-17,89,75,77
2013-01-18,83,75,78
2013-01-19,78,71,81
2013-01-20,77,71,81
2013-01-21,82,70,79
2013-01-22,82,75,79
2013-01-23,85,77,79
2013-01-24,85,79,79
2013-01-25,85,77,79
2013-01-26,87,78,81
2013-01-27,88,75,81
2013-01-28,82,74,79
2013-01-29,82,74,79
2013-01-30,81,73,79
2013-01-31,78,71,79
2013-02-01,76,70,81
2013-02-02,78,70,84
2013-02-03,74,73,92
2013-02-04,87,77,96
2013-02-05,90,80,98
2013-02-06,92,84,98
2013-02-07,94,84,97
2013-02-08,94,82,94
2013-02-09,91,84,93
2013-02-10,94,90,92
2013-02-11,93,90,92
2013-02-12,93,89,92
2013-02-13,92,88,96
2013-02-14,93,88,101
2013-02-15,94,90,112
2013-02-16,98,92,119
2013-02-17,97,92,121
2013-02-18,97,90,120
2013-02-19,95,87,120
2013-02-20,89,82,112
2013-02-21,83,78,92
2013-02-22,78,72,94
2013-02-23,77,72,102
2013-02-24,81,71,102
2013-02-25,81,70,93
2013-02-26,81,70,93
2013-02-27,75,65,92
2013-02-28,74,62,92
2013-03-01,70,62,90
2013-03-02,72,62,87
2013-03-03,73,62,88
2013-03-04,73,62,96
2013-03-05,74,60,98
2013-03-06,74,60,92
2013-03-07,71,59,87
2013-03-08,70,60,85
2013-03-09,68,59,86
2013-03-10,67,57, 
2013-03-11,65,56, 
2013-03-12,63,56, 
2013-03-13,66,58, 
2013-03-14,68,55, 
2013-03-15,68,55, 
2013-03-16,70,55,81
2013-03-17,74,56,81
2013-03-18,74,58,85
2013-03-19,72,59,87
2013-03-20,72,60,86
2013-03-21,74,63,83
2013-03-22,80,66,84
2013-03-23,83,68,78
2013-03-24,82,72,78
2013-03-25,80,75,79
2013-03-26,81,75,81
2013-03-27, , , 
2013-03-28,86,82,80
2013-03-29,85,82,75
2013-03-30,81,82,71
2013-03-31,78,80,71
2013-04-01,78,80,71
2013-04-02,78,78,68
2013-04-03,75,76,70
2013-04-04,75,75,66
2013-04-05,71,71,60
2013-04-06,67,68,58
2013-04-07,68,67,58
2013-04-08,65,67,58
2013-04-09,67,67,58
2013-04-10,69,67,58
2013-04-11,70,66,55
2013-04-12,69,65,55
2013-04-13,65,62,54
2013-04-14,66,61,55
2013-04-15,65,58,55
2013-04-16,62,56,55
2013-04-17,61,55,55
2013-04-18,58,53,55
2013-04-19,63,53,61
2013-04-20,70,59,70
2013-04-21,72,63,75
2013-04-22,72,65,75
2013-04-23,73,65,78
2013-04-24,72,63,74
2013-04-25,68,62,72
2013-04-26,62,60,64
2013-04-27,59,58,65
2013-04-28,60,58,60
2013-04-29,64,57,60
2013-04-30,65,60,60
2013-05-01,62,59,56
2013-05-02,63,57,53
2013-05-03,60,56,53
2013-05-04,58,55,53
2013-05-05,61,55,64
2013-05-06,65,59,67
2013-05-07,62,61,67
2013-05-08,61,60,67
2013-05-09,60,60,67
2013-05-10,61,62,67
2013-05-11,64,63,72
2013-05-12,68,66,74
2013-05-13,68,66,76
2013-05-14,69,66,82
2013-05-15,69,66,82
2013-05-16,69,65,82
2013-05-17,65,66,82
2013-05-18,65,66,79
2013-05-19,64,64,72
2013-05-20,64,63,72
2013-05-21,62,60, 
2013-05-22,61,57,72
2013-05-23,62,56,70
2013-05-24,65,62,72
2013-05-25,70,66,74
2013-05-26,75,70,74
2013-05-27,75,70,74
2013-05-28,73,70,74
2013-05-29,70,68,74
2013-05-30,70,64,74
2013-05-31,70,62,74
2013-06-01,68,61,74
2013-06-02,73,65,77
2013-06-03,71,64,80
2013-06-04,71,64,82
2013-06-05,75,70,82
2013-06-06,77,72,82
2013-06-07,83,77,75
2013-06-08,83,80,75
2013-06-09,80,79,75
2013-06-10,79,77,75
2013-06-11,79,72,75
2013-06-12,79,71,75
2013-06-13,81,76,77
2013-06-14,83,81,88
2013-06-15,85,83,94
2013-06-16,87,81,90
2013-06-17,85,80,86
2013-06-18,84,84,86
2013-06-19,85,88,80
2013-06-20,86,86,76
2013-06-21,85,82,74
2013-06-22,80,80,78
2013-06-23,75,75,78
2013-06-24,75,75,82
2013-06-25,77,76,82
2013-06-26,78,80,82
2013-06-27,80,80,82
2013-06-28,79,77,81
2013-06-29,75,73,80
2013-06-30,70,67,80
2013-07-01,69,66,82
2013-07-02,70,66,82
2013-07-03,70,68,77
2013-07-04,69,67,77
2013-07-05,67,65,74
2013-07-06,65,61,74
2013-07-07,62,59,74
2013-07-08,61,57,74
2013-07-09,65,60,74
2013-07-10,66,63,74
2013-07-11,67,63,67
2013-07-12,68,65,68
2013-07-13,68,64,68
2013-07-14,67,65,68
2013-07-15,66,68,68
2013-07-16,66,70,68
2013-07-17,65,70,63
2013-07-18,66,67,63
2013-07-19,62,66,63
2013-07-20,60,65,68
2013-07-21,62,67,70
2013-07-22,68,73,70
2013-07-23,70,77,70
2013-07-24,74,77,66
2013-07-25,70,75,63
2013-07-26,68,68,60
2013-07-27,65,65,63
2013-07-28,67,72,66
2013-07-29,74,78,64
2013-07-30,77,77,63
2013-07-31,76,82,70
2013-08-01,76,82,78
2013-08-02,77,82,74
2013-08-03,77,82,66
2013-08-04,81,85,73
2013-08-05,82,85,80
2013-08-06,71,83,80
2013-08-07,77,81,85
2013-08-08,80,81,85
2013-08-09,78,81,85
2013-08-10,77,81,80
2013-08-11,76,80,80
2013-08-12,78,81,80
2013-08-13,81,81,83
2013-08-14,81,80,85
2013-08-15,79,79,85
2013-08-16,79,77,84
2013-08-17,78,76,85
2013-08-18,80,76,83
2013-08-19,78,76,82
2013-08-20,80,76,82
2013-08-21,77,75,88
2013-08-22,81,75,88
2013-08-23,84,76,90
2013-08-24,88,76,93
2013-08-25,93,83,96
2013-08-26,93,83,96
2013-08-27,88,81,98
2013-08-28,88,78,98
2013-08-29,85,76,93
2013-08-30,81,72,90
2013-08-31,75,67,86
2013-09-01,74,63,85
2013-09-02,69,62,86
2013-09-03,69,61,86
2013-09-04,69,61,88
2013-09-05,69,60,85
2013-09-06,71,63,86
2013-09-07,73,62,87
2013-09-08,73,61,89
2013-09-09,73,60,90
2013-09-10,69,58,88
2013-09-11,67,58,85
2013-09-12,68,57,77
2013-09-13,65,56,72
2013-09-14,66,56,76
2013-09-15,69,55,77
2013-09-16,70,58,82
2013-09-17,70,58,84
2013-09-18,71,58,88
2013-09-19,70,58,86
2013-09-20,68,60,85
2013-09-21,67,60,82
2013-09-22,65,62,77
2013-09-23,65,61,70
2013-09-24,65,61,70
2013-09-25,65,60,67
2013-09-26,64,59,67
2013-09-27,64,60,64
2013-09-28,63,61,64
2013-09-29,63,58,64
2013-09-30,63,56,68
2013-10-01,64,57,68
2013-10-02,60,54,71
2013-10-03,59,55,73
2013-10-04,62,57,68
2013-10-05,65,61,68
2013-10-06,65,61,68
2013-10-07,66,61,65
2013-10-08,63,56,65
2013-10-09,60,53,65
2013-10-10,60,51,63
2013-10-11,60,52,63
2013-10-12,59,53,68
2013-10-13,65,61,70
2013-10-14,64,62,68
2013-10-15,60,58,68
2013-10-16,60,56,63
2013-10-17,60,55,62
2013-10-18,55,52,60
2013-10-19,55,51,53
2013-10-20,52,47,50
2013-10-21,52,46,52
2013-10-22,55,52,52
2013-10-23,60,56,55
2013-10-24,58,53,55
2013-10-25,53,45,51
2013-10-26,46,38,52
2013-10-27,48,52,51
2013-10-28,48,50,50
2013-10-29,46,45,50
2013-10-30,42,36,50
2013-10-31,38,35,47
2013-11-01,38,34,46
2013-11-02,45,35,45
2013-11-03,49,41,50
2013-11-04,50,40,48
2013-11-05,52,37,47
2013-11-06,46,36, 
2013-11-07,42,36,58
2013-11-08,42,35,55
2013-11-09,45,42,62
2013-11-10,53,52,70
2013-11-11,57,53,70
2013-11-12,57,53,67
2013-11-13,57,48,66
2013-11-14,54,43,62
2013-11-15,45,43,58
2013-11-16,51,47,55
2013-11-17,55,50,53
2013-11-18,55,50,52
2013-11-19,52,47,52
2013-11-20,48,46,52
2013-11-21,55,51,52
2013-11-22,60,58,56
2013-11-23,60,60,63
2013-11-24,60,60,63
2013-11-25,59,56,63
2013-11-26,58,56,65
2013-11-27,55,55,65
2013-11-28,52,53,65
2013-11-29,62,53,65
2013-11-30,56,57,66
2013-12-01,62,60,63
2013-12-02,60,55,63
2013-12-03,60,58,63
2013-12-04,56,58,64
2013-12-05,58,58,66
2013-12-06,60,57,72
2013-12-07,63,60,75
2013-12-08,63,62,75
2013-12-09,61,59,75
2013-12-10,62,58,75
2013-12-11,61,57,73
2013-12-12,65,60,68
2013-12-13,70,63,66
2013-12-14,75,65,74
2013-12-15,77,70,80
2013-12-16,77,70,85
2013-12-17,80,73,87
2013-12-18,80,75,90
2013-12-19,80,75,90
2013-12-20,80,77,90
2013-12-21,81,77,90
2013-12-22,84,78,88
2013-12-23,84,78,88
2013-12-24,85,77,88
2013-12-25,85,80,88
2013-12-26,85,79,88
2013-12-27,85,80,92
2013-12-28,88,82,91
2013-12-29,90,84,92
2013-12-30,91,83,93
2013-12-31,91,83,93
2014-01-01,90,80,96
2014-01-02,89,78,96
2014-01-03,90,83,96
2014-01-04,95,85,96
2014-01-05,95,86,94
2014-01-06,95,87,95
2014-01-07,96,85,95
2014-01-08,91,84,91
2014-01-09,94,84,91
2014-01-10,94,84,87
2014-01-11,92,86,85
2014-01-12,92,87,85
2014-01-13,92,88,83
2014-01-14,95,89,85
2014-01-15,95,91,86
2014-01-16,97,89,89
2014-01-17,97,90,95
2014-01-18,96,91,104
2014-01-19,100,91,107
2014-01-20,100,91,105
2014-01-21,98,90,98
2014-01-22,96,87,90
2014-01-23,90,82,87
2014-01-24,88,83,84
2014-01-25,90,82,85
2014-01-26,91,80,86
2014-01-27,92,79,82
2014-01-28,89,82,82
2014-01-29,88,85,76
2014-01-30,88,83,73
2014-01-31,86,82,73
2014-02-01,80,80,75
2014-02-02,80,81,85
2014-02-03,85,82,82
2014-02-04,82,82,82
2014-02-05,84,80,76
2014-02-06,81,78,73
2014-02-07,78,74,70
2014-02-08,76,72,76
2014-02-09,72,72,76
2014-02-10,73,72,71
2014-02-11,75,72,71
2014-02-12,76,73,67
2014-02-13,76,74,62
2014-02-14,73,73,60
2014-02-15,73,73,65
2014-02-16,73,72,75
2014-02-17,73,70,67
2014-02-18,73,68,67
2014-02-19,70,69,65
2014-02-20,70,68,57
2014-02-21,68,67,62
2014-02-22,67,67,66
2014-02-23,64,65,60
2014-02-24,66,66,60
2014-02-25,68,67,60
2014-02-26,72,70,56
2014-02-27,71,70,54
2014-02-28,71,70,62
2014-03-01,70,69,66
2014-03-02,70,68,66
2014-03-03,69,68,62
2014-03-04,72,70,62
2014-03-05,73,72,60
2014-03-06,73,72,63
2014-03-07,70,70,64
2014-03-08,72,70,67
2014-03-09,69,69,64
2014-03-10,71,70,60
2014-03-11,71,70,60
2014-03-12,70,69,62
2014-03-13,70,69,58
2014-03-14,70,68,58
2014-03-15,70,67,62
2014-03-16,70,68,66
2014-03-17, , , 
2014-03-18,72,69,60
2014-03-19,70,67,55
2014-03-20,68,66,54
2014-03-21,66,61,54
2014-03-22,63,60,54
2014-03-23,58,57,52
2014-03-24,58,55,52
2014-03-25,58,57,52
2014-03-26,57,58,52
2014-03-27,59,58,50
2014-03-28,58,55,50
2014-03-29,55,52,53
2014-03-30,55,53,53
2014-03-31,56,52,52
2014-04-01,56,55,52
2014-04-02,56,57,52
